01_prenom,02_genre,03_langage,04_fréquence
'abbas,male,arabic,0
'abla,female,arabic,0
'aisha,female,arabic,0
'aziz,male,arabic,0
'isam,male,arabic,0
'ismat,both,arabic,0
aaliyah,female,english (modern),0
aapeli,male,finnish,0
aapo,male,finnish,0
aaren,both,english,0
aarne,male,finnish,0
aaron,male,"english, biblical",1.37
aarón,male,spanish,0
aatami,male,finnish,0
aatto,male,finnish,0
aatu,male,finnish,0
abaddon,male,biblical,0
abbán,male,irish,0
abbey,female,english,0.06
abbie,female,english,0
abby,female,english,0
abd-al-aziz,male,arabic,0
abd-al-malik,male,arabic,0
abd-al-qadir,male,arabic,0
abd-al-rahman,male,arabic,0
abd-allah,male,arabic,0
abdul,male,arabic,0.29
abdul-aziz,male,arabic,0
abdul-rahman,male,arabic,0
abdullah,male,arabic,0.13
abe,male,"english, jewish",0.03
abednego,male,biblical,0
abegail,female,spanish,0
abel,male,"english, french, spanish, biblical",5.38
ábel,male,hungarian,0
abelone,female,danish,0
abena,female,african,0
abeni,female,african,0
abhay,male,indian,0
abiah,both,biblical,0
abidan,male,biblical,0
abidemi,male,african,0
abiel,male,biblical,0
abigail,female,"english, german, biblical",0.06
abigayle,female,english (modern),0
abihu,male,biblical,0
abijah,both,biblical,0
abilene,female,biblical,0
abimael,male,biblical,0
abiram,male,biblical,0
abisai,male,biblical (variant),0
abishag,female,biblical,0.03
abishai,male,biblical,0
abital,female,biblical,0
abner,male,"english, biblical",0
abraham,male,"english, jewish, biblical",3.15
abram,male,biblical,0.03
absalom,male,"english, biblical",0.03
absolon,male,french,0
acacia,female,english,2.07
acacius,male,ancient greek (latinized),0
acantha,female,greek mythology (latinized),0
ace,male,english,0.03
achaicus,male,"biblical, ancient greek (latinized)",0
achan,male,biblical,0
achieng,female,african,0
achille,male,"french, italian",8.63
achilles,male,greek mythology (latinized),0
achim,male,german,0.03
acke,male,swedish,0
ada,female,english,0.13
adah,female,biblical,0
adair,male,,0.03
adalbert,male,"ancient germanic, german",0.06
adalberto,male,"italian, spanish, portuguese",0
adalheid,female,german,0
adalia,male,biblical,0
adam,male,"english, french, german, polish, russian, romanian, biblical",25.45
ádám,male,hungarian,0
adamina,female,english,0
adamo,male,italian,0
adán,male,spanish,0
adão,male,portuguese,0
adara,female,,0
addie,female,english,0
addison,both,english,0.64
addy,female,english,0
adel,male,arabic,0
adela,female,english,0
adelaide,female,english,0
adélaïde,female,french,15.48
